ski,7
start,1
end,1
positions,1
fire,6
hurricane,6
form,1
trajectory,1
types,2
people,1
distribution,16
condition,1
water,5
treatment,1
plant,1
way,1
emergency,1
vehicle,2
rate,4
percent,1
impact,6
development,1
relationship,9
concentrations,1
students,2
glaciers,1
european,1
changes,9
population,25
there,3
theme,1
effect,5
traffic,5
flows,2
time,4
term,3
consequences,2
farming,1
forestry,1
stone,1
age,2
holiday,1
flow,1
patterns,5
retailing,1
wind,3
pattern,8
use,5
luxury,2
snowfall,1
route,4
slope,1
aspect,1
visitor,1
damage,1
landscape,2
casualty,1
tsunami,1
categories,2
trees,2
parties,1
crime,2
branch,1
police,2
trend,2
crimes,1
trends,5
animal,2
migration,1
grazing,1
family,2
removal,1
aquifer,1
mileage,1
arsons,1
construction,1
concentration,2
tractor,1
rates,2
election,1
results,1
portions,1
energy,1
density,15
robberies,4
dot,2
voters,1
elms,1
myrtles,1
oleander,1
surface,1
rainfall,1
incident,1
calls,4
year,1
tornadoes,1
customers,1
clusters,3
output,1
oil,1
well,1
clusterings,1
acreage,1
properties,2
pipes,1
breakdown,1
poll,1
workers,1
attendance,1
boundaries,1
property,3
owners,2
percentage,1
noise,1
mitigation,1
nearness,1
hydrants,1
insurance,1
spread,1
plumes,1
flood,1
level,4
change,5
tornado,1
strength,1
speed,1
herd,1
animals,1
levels,1
connectivity,3
bikeability,1
bicycle,4
degree,1
separation,1
topography,1
destination,1
cyclists,1
crop,1
yields,1
accessibility,7
choices,1
extent,8
china,1
dynamics,1
carbon,4
emissions,1
sinks,1
emission,2
access,3
outpatient,1
services,3
factors,11
probability,1
buses,1
physician,1
nurse,1
practitioner,1
seniors,1
influence,1
center,1
sub,1
centers,1
parking,1
availability,1
directness,1
topology,1
network,1
risk,4
cyclist,1
collision,1
activities,1
environment,3
heat,1
hotspots,4
rurality,1
tourism,1
policies,1
socio,2
mortality,3
fertility,2
vary,1
populations,1
ratio,6
correlation,1
weather,1
conditions,1
walking,1
mode,1
transport,1
floor,1
census,1
tract,1
number,1
structure,2
volumes,1
characteristics,3
travel,3
behavior,3
difference,1
segregation,1
nature,1
reserves,1
industry,1
effects,1
health,1
indicators,1
immigration,1
relationships,4
sex,1
resources,1
flooding,1
features,1
individuals,1
activity,3
differences,2
scales,1
autocorrelation,1
pedestrians,1
georgia,1
filipino,1
cover,1
dataset,1
methods,1
growth,4
establishments,1
industries,1
thefts,2
variations,1
impacts,1
conversion,1
potential,2
interactions,1
intensity,1
cervix,1
cancer,1
map,1
association,1
exposure,1
maternal,1
position,1
walkability,1
