low,9
longest,3
highest,8
individual,3
nearest,2
fastest,1
annual,3
minimum,1
greater,2
little,1
suitable,4
radioactive,1
nuclear,2
natural,2
square,1
best,2
pickup,1
closest,3
public,5
economic,4
local,2
social,4
new,6
high,11
polar,1
potential,4
long,3
major,2
greatest,2
adequate,1
close,1
many,1
quickest,2
ski,1
recreational,1
acid,1
particular,1
industrial,1
certain,1
likely,1
overall,1
ready,1
political,1
mean,2
most,1
more,1
normal,1
directional,4
single,2
total,3
linear,1
monthly,4
average,2
hispanic,2
various,4
ethnic,1
rental,2
relative,3
strict,1
own,1
residential,7
future,1
green,1
intellectual,1
physical,5
sociodemographic,1
suburban,1
spatial,25
urban,12
temporal,4
direct,1
indirect,1
agricultural,2
regional,1
determinant,1
geographic,4
different,6
main,1
polycentric,1
nighttime,1
light,1
remote,1
global,1
seasonal,1
spatiotemporal,1
healthy,1
habitual,1
multiple,1
reproductive,3
domestic,3
national,1
affect,1
scientific,1
demographic,2
daily,1
socioeconomic,1
selective,1
areal,2
maximum,1
retail,1
cardiac,1
significant,1
moderate,2
affordable,1
geographical,4
racial,8
black,1
private,1
dependent,1
ecological,2
heterogeneous,1
structural,1
sexual,2
lower,1
spatio,1
fractal,1
young,1
professional,1
39-year,1
old,1
important,1
half,1
full,1
unemployed,1
retired,1
good,1
predictive,1
depressive,1
criminal,2
chinese,1
indian,1
korean,1
japanese,1
cambodian,1
possible,1
statistical,1
dynamic,1
cultural,1
e.g.,1
quantitative,1
ambient,1
sandy,1
