meet,1
adapt,1
found,1
live,1
occurred,1
established,2
located,11
find,1
locate,1
scattered,1
occur,1
operate,1
retain,1
maximize,1
harvested,1
based,8
respond,1
compare,1
clustered,4
distributed,3
need,3
inspected,1
assuming,1
situated,1
predicted,1
affect,1
contribute,1
determining,2
identified,3
predict,2
determine,1
depending,1
measured,1
mapped,1
explained,1
explain,1
living,1
calculated,1
influence,1
plan,1
measure,2
evaluate,1
used,2
analyzing,1
characterized,2
analysing,1
monitor,1
analyze,1
concentrated,1
identify,2
map,1
using,1
